1.563e+01, 1.563e-01, 1.563e+06
3.125e+01, 3.125e-01, 3.125e+06
6.251e+01, 6.251e-01, 6.251e+06
6.251e+02, 6.251e+00, 6.251e+07
7.197e-01, 7.197e-03, 7.197e+04
1.439e+00, 1.439e-02, 1.439e+05
2.159e+00, 2.159e-02, 2.159e+05
2.879e+00, 2.879e-02, 2.879e+05
3.598e+00, 3.598e-02, 3.598e+05
4.318e+00, 4.318e-02, 4.318e+05
5.038e+00, 5.038e-02, 5.038e+05
5.757e+00, 5.757e-02, 5.757e+05
6.477e+00, 6.477e-02, 6.477e+05
7.197e+00, 7.197e-02, 7.197e+05
1.799e+01, 1.799e-01, 1.799e+06
3.598e+01, 3.598e-01, 3.598e+06
7.197e+01, 7.197e-01, 7.197e+06
7.197e+02, 7.197e+00, 7.197e+07
8.286e-01, 8.286e-03, 8.286e+04
1.657e+00, 1.657e-02, 1.657e+05
2.486e+00, 2.486e-02, 2.486e+05
3.315e+00, 3.315e-02, 3.315e+05
4.143e+00, 4.143e-02, 4.143e+05
4.972e+00, 4.972e-02, 4.972e+05
5.800e+00, 5.800e-02, 5.800e+05
6.629e+00, 6.629e-02, 6.629e+05
7.458e+00, 7.458e-02, 7.458e+05
8.286e+00, 8.286e-02, 8.286e+05
2.072e+01, 2.072e-01, 2.072e+06
4.143e+01, 4.143e-01, 4.143e+06
8.286e+01, 8.286e-01, 8.286e+06
8.286e+02, 8.286e+00, 8.286e+07
9.541e-01, 9.541e-03, 9.541e+04
1.908e+00, 1.908e-02, 1.908e+05
2.862e+00, 2.862e-02, 2.862e+05
3.816e+00, 3.816e-02, 3.816e+05
4.770e+00, 4.770e-02, 4.770e+05
5.725e+00, 5.725e-02, 5.725e+05
6.679e+00, 6.679e-02, 6.679e+05
7.633e+00, 7.633e-02, 7.633e+05
8.587e+00, 8.587e-02, 8.587e+05
9.541e+00, 9.541e-02, 9.541e+05
2.385e+01, 2.385e-01, 2.385e+06
4.770e+01, 4.770e-01, 4.770e+06
